Penstemon sp.'Seiver's'                                         |Seiver's Penstemon /UT                                          
Penstemon strictus                                              |Rocky Mountain Penstemon                                        
Penstemon virens                                                |Blue Mist Penstemon, Foothills Penstemon                        
Penstemon virgatus ssp.asa-grayi                                |Tall Beardtongue                                                
Peraphyllum ramosissimum                                        |Squaw Apple                                                     
Perovskia atriplicifolia  (NN)                                  |Russian Sage                                                    
Phacelia sericea                                                |Purple Fringe                                                   
Philadelphus Lewisii                                            |Lewis' Mockorange                                               
Philadelphus microphyllus                                       |Little-leaf Mockorange                                          
Physaria bellii (cultivated source)                             |Twinpod, Double Bladder-pod                                     
Physocarpus monogynus                                           |Mountain Ninebark                                               
Physocarpus opulifolius 'Luteus'                                |Golden Ninebark                                                 
Potentilla fruticosa                                            |Shrubby Cinquefoil, Yellow Rose                                 
Potentilla hippiana                                             |Woolly Cinquefoil                                               
Potentilla nevadensis                                           |Silver-Mat Cinquefoil                                           
Potentilla pensylvanica                                         |Prairie Cinquefoil                                              
Prunus armeniaca (NN)                                           |Apricot                                                         
Prunus besseyi                                                  |Western Sand Cherry                                             
Prunus fasciculata                                              |Desert Almond, Wild Almond                                      
Prunus fruticosa (NN)                                           |European Dwarf Cherry                                           
Prunus pensylvanica saximontana                                 |Native Pin Cherry                                               
Prunus tenella (NN)                                             |Dwarf Russian Almond                                            
Prunus tomentosa (NN)                                           |Nanking Cherry, Chinese Bush Fruit                              
Prunus virginiana melanocarpa                                   |Native Chokecherry                                              
Psilostrophe Bakeri                                             |Baker's Paperflower                                             
Psilostrophe tagetina                                           |Woolly Paperflower                                              
Ptelea trifoliata                                               |Hoptree                                                         
Purshia tridentata                                              |Antelop Bitterbrush                                             
Quercus Gambelii (seasonal)                                     |Gambel's Oak (in season)                                        
Ratibida columnifera                                            |Yellow Prairie Coneflower                                       
Ratibida columnifera pulcherrima                                |Red Mexican Hat                                                 
Rhus aromatica                                                  |Fragrant Sumac, Polecat Bush                                    
Rhus trilobata                                                  |Three-leaf Sumac, Oak-leaf Sumac                                
Ribes alpinum                                                   |Alpine Currant                                                  
Ribes aureum                                                    |Yellow Flowering Currant                                        
Ribes cereum                                                    |Squaw Currant, Wax Currant                                      
Ribes inerme                                                    |White Stem Currant                                              
Ribes leptanthum                                                |Slender Flowered Currant, Trumpet Gooseberry                    
Ribes montigenum                                                |Gooseberry Currant                                              
Ribes viscossimum                                               |Sticky Currant                                                  
Robinia neomexicana                                             |New Mexican Locust                                              
Rosa glauca (NN)                                                |Red Leaved Rose                                                 
Rosa Woodsii                                                    |Wood's Rose, Native Wild Rose                                   
Rosularia chrysantha                                            |Rosularia                                                       
Rosularia pallida                                               |Rosularia                                                       
Rubus deliciosus                                                |Thimbleberry, Boulder Raspberry                                 
Rubus idaeus ssp.melanolasius                                   |Native Red Raspberry                                            
Rubus parviflorus                                               |Salmonberry, Thimbleberry                                       
Rudbeckia hirta                                                 |Black-eyed Susan                                                
Rudbeckia lacinata                                              |Tall Mountain Cone-flower                                       
Ruellia humilis                                                 |Fringe-leaf Ruellia                                             
Rumex venosus                                                   |Showy Dock                                                      
Salix amygdaloides                                              |Peach-leaf Willow                                               
Salvia argentia (NN)                                            |Silver Sage, Silver Salvia                                      
Salvia azurea var.grandiflora                                   |Blue Sage                                                       
Salvia candidissima (NN)                                        |unknown                                                         
Salvia microstegia                                              |unknown                                                         
Salvia pratensis (NN)                                           |Meadow Clary                                                    
Salvia x superba                                                |Ramona Sage                                                     
Sambucus caerulea                                               |Blue Elderberry                                                 
Sambucus canadensis 'Aurea'                                     |Golden Elder                                                    
Sambucus can.'Laciniata'                                        |Cut-leaf Elder                                                  
Sambucus pubens                                                 |Native Red-Berried Elder                                        
Sapindus Drummondii                                             |Drummond's Soapberry                                            
Sarcobatus vermiculatis                                         |Greasewood                                                      
Scutellaria Brittonii                                           |Skullcap                                                        
Sedum lanceolatum                                               |Stonecrop                                                       
Sedum x 'Vera Jameson' (NN)                                     |Vera Jameson Sedum                                              
Senecio fendleri                                                |Fendler's Senecio                                               
Senecio polygodon ssp.subglaber (NN)                            |Showy Purple Groundsel                                          
Senecio spartioides                                             |Broom Groundsel                                                 
Shepherdia argentea                                             |Silver Buffaloberry                                             
Shepherdia canadensis                                           |Russet Buffaloberry                                             
Shepherdia rotundifolia                                         |Roundleaf Buffaloberry                                          
Silene acaulis                                                  |Cushion Pinks                                                   
Solidego altissima                                              |Tall Goldenrod                                                  
Solidego gigantea                                               |Smooth Goldenrod                                                
Solidego missouriensis                                          |Smooth Goldenrod                                                
Solidego nana                                                   |Dwarf Goldenrod                                                 
Sorbus scopulina                                                |Western Mountain Ash                                            
Stachys coccinea                                                |Scarlet Hedge Nettle                                            
Stanleya pinnata                                                |Prince's Plume                                                  
Stipa comata                                                    |Needle-and-Thread Grass                                         
Stipa tenacissima (NN)                                          |Esparto Grass                                                   
Stipa viridula                                                  |Green Needle-grass                                              
Symphoricarpus oreophilus                                       |Buckbrush, Mountain Snowberry                                   
Talinum calycinum                                               |Flame Flower                                                    
Telesonix jamesii                                               |Telesonix                                                       
Tetradymia canescens                                            |Horsebrush                                                      
Thalictrum fendleri                                             |Fendler Meadowrue                                               
Thelesperma filifolium                                          |Praire Greenthread                                              
Thermopsis divaricarpa                                          |Golden Banner                                                   
Thermopsis montanus                                             |Golden Banner                                                   
Townsendia exscapa                                              |Easter Daisy                                                    
Townsendia grandiflora                                          |Easter Daisy                                                    
Townsendia Hookeri                                              |Hooker's Townsendia                                             
Townsendia Parryi                                               |Parry's Easter Daisy                                            
Townsendia rothrockii (Erigeron)                                |Colorado Alpine Easter Daisy                                    
Tulipia albertii                                                |Alberta Tulip                                                   
Yucca baccata                                                   |Banana Yucca, Broad-leaf Yucca                                  
Yucca elata                                                     |Soap Tree                                                       
Yucca glauca                                                    |Great Plains Yucca, Soapweed                                    
Yucca Harrimaniae                                               |Harriman's Yucca                                                
Zinnia grandiflora                                              |Prairie Zinnia                                                  
